Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
U0015717,10.0,1.0,0.859485,0.801167,0.0,615.825,0.140515,0.539227,0.231377,0.69413
WAG0463703,0.521719,0.497366,0.788817,0.556624,0.0316518,0.613705,0.179531,0.0,1.0,1.0
ITAG2_3,10.0,5.0e-09,0.945461,0.91796,5.55222e-05,8.18035e-07,0.0544831,0.0,1.0,1.0
