Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
U0015717,0.891684,0.736705,0.869011,1.0,0.0013719,132.589,0.129617,137.924,0.0,0.0
WAG0463703,0.606495,0.289902,0.699579,1.0,0.0597709,106.43,0.240651,171.153,0.0,0.0
ITAG2_3,10.0,1.0,0.801506,0.993701,9.92472e-10,1806.47,0.198494,0.500316,0.239681,0.719042
U0015716,10.0,0.000316573,0.000667182,8.18034e-07,0.590981,8.18035e-07,0.408352,0.0,1.0,1.0
Node3,1.39635e-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
