Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
U0015716,0.980144,0.633604,0.958059,1.0,0.0174306,809.722,0.0245106,65.1084,3.33067e-16,2.33147e-15
WAG0463703,0.432609,0.251906,0.901133,0.245653,0.0248681,166.686,0.0739987,49.64,9.23539e-13,5.54123e-12
U0015717,10.0,0.000743163,5.50389e-05,1.0,0.791969,10000.0,0.207976,0.954369,0.164305,0.821525
Node3,0.279532,0.00182889,0.998982,0.995233,0.000253384,7.35561,0.00076465,-0.0187243,0.5,1.0
AF506005,0.583048,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
ITAG2_3,1.0,0.000487985,2.16198e-06,2.72786e-06,0.368964,8.18035e-07,0.631034,0.0,1.0,1.0
Node5,1.0,0.000487985,0.944998,0.576081,0.0550024,11.3975,0.0,0.0,1.0,1.0
