Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
U0015717,0.614244,0.540423,0.98794,5.0e-09,9.58842e-05,10000.0,0.0119642,25.0787,2.75194e-07,1.37597e-06
XM_004228569,0.54183,0.451536,0.949845,1.0,0.00485014,25.8574,0.0453044,9.76059,0.000891461,0.00356584
ITAG2_3,10.0,0.816178,0.961316,0.988912,0.00010335,5187.68,0.0385805,0.343301,0.278965,0.836895
WAG0463703,0.977248,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node3,0.59002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
